record_date,treatment,plant_id,week_no,variety,lighting,canopy_width,canopy_length,canopy_height,leaf_count,hue_angle,fresh_weight,root_length,core_length,head_diameter,head_firmness,sample_weight_g,OD663,OD645,OD470,OD765,chl_a,chl_b,total_chl,carotenoids,total_phenolics
2026-08-17,Control_F,A5,3.0,Fame,Control,30.0,31.0,15.0,11,,,,,,,,,,,,,,,,
2026-08-17,Control_F,A7,3.0,Fame,Control,30.0,31.0,18.0,12,,,,,,,,,,,,,,,,
2026-08-17,Control_F,B3,3.0,Fame,Control,32.0,38.0,18.0,12,,,,,,,,,,,,,,,,
2026-08-17,Control_F,B5,3.0,Fame,Control,31.0,32.0,15.0,11,,,,,,,,,,,,,,,,
2026-08-17,Control_F,B6,3.0,Fame,Control,27.0,34.0,16.0,11,,,,,,,,,,,,,,,,
2026-08-17,Control_F,B8,3.0,Fame,Control,32.0,36.0,15.0,12,,,,,,,,,,,,,,,,
2026-08-17,Control_F,C4,3.0,Fame,Control,32.0,33.0,15.0,12,,,,,,,,,,,,,,,,
2026-08-17,Control_F,C6,3.0,Fame,Control,20.0,29.0,17.0,11,,,,,,,,,,,,,,,,
2026-08-17,Control_F,C9,3.0,Fame,Control,31.0,32.0,14.0,14,,,,,,,,,,,,,,,,
2026-08-17,Control_GM,A2,3.0,Green Moon,Control,20.0,22.0,15.0,10,,,,,,,,,,,,,,,,
2026-08-17,Control_GM,A5,3.0,Green Moon,Control,21.0,25.0,19.0,11,,,,,,,,,,,,,,,,
2026-08-17,Control_GM,A7,3.0,Green Moon,Control,21.0,23.0,18.0,11,,,,,,,,,,,,,,,,
2026-08-17,Control_GM,B3,3.0,Green Moon,Control,24.0,25.0,17.0,11,,,,,,,,,,,,,,,,
2026-08-17,Control_GM,B5,3.0,Green Moon,Control,21.0,30.0,20.0,12,,,,,,,,,,,,,,,,
2026-08-17,Control_GM,B6,3.0,Green Moon,Control,22.0,23.0,14.0,11,,,,,,,,,,,,,,,,
2026-08-17,Control_GM,B8,3.0,Green Moon,Control,26.0,25.0,17.0,11,,,,,,,,,,,,,,,,
2026-08-17,Control_GM,C4,3.0,Green Moon,Control,23.0,30.0,18.0,10,,,,,,,,,,,,,,,,
2026-08-17,Control_GM,C6,3.0,Green Moon,Control,27.0,29.0,20.0,11,,,,,,,,,,,,,,,,
2026-08-17,Control_GM,C9,3.0,Green Moon,Control,21.0,26.0,19.0,11,,,,,,,,,,,,,,,,
2026-08-17,LED_F (1),A2,3.0,Fame,LED Plot 1,25.0,33.0,17.0,11,,,,,,,,,,,,,,,,
2026-08-17,LED_F (1),A5,3.0,Fame,LED Plot 1,25.0,38.0,13.0,12,,,,,,,,,,,,,,,,
2026-08-17,LED_F (1),A7,3.0,Fame,LED Plot 1,31.0,33.0,13.0,12,,,,,,,,,,,,,,,,
2026-08-17,LED_F (1),B3,3.0,Fame,LED Plot 1,35.0,40.0,12.0,15,,,,,,,,,,,,,,,,
2026-08-17,LED_F (1),B5,3.0,Fame,LED Plot 1,35.0,35.0,14.0,14,,,,,,,,,,,,,,,,
2026-08-17,LED_F (1),B6,3.0,Fame,LED Plot 1,32.0,35.0,14.0,13,,,,,,,,,,,,,,,,
2026-08-17,LED_F (1),B8,3.0,Fame,LED Plot 1,37.0,39.0,16.0,11,,,,,,,,,,,,,,,,
2026-08-17,LED_F (1),C4,3.0,Fame,LED Plot 1,29.0,37.0,13.0,14,,,,,,,,,,,,,,,,
2026-08-17,LED_F (1),C6,3.0,Fame,LED Plot 1,21.0,34.0,11.0,12,,,,,,,,,,,,,,,,
2026-08-17,LED_F (1),C9,3.0,Fame,LED Plot 1,31.0,33.0,11.0,12,,,,,,,,,,,,,,,,
2026-08-17,LED_F (2),A2,3.0,Fame,LED Plot 2,29.0,32.0,12.0,10,,,,,,,,,,,,,,,,
2026-08-17,LED_F (2),A5,3.0,Fame,LED Plot 2,30.0,32.0,11.0,11,,,,,,,,,,,,,,,,
2026-08-17,LED_F (2),A7,3.0,Fame,LED Plot 2,27.0,29.0,11.0,13,,,,,,,,,,,,,,,,
2026-08-17,LED_F (2),B3,3.0,Fame,LED Plot 2,28.0,33.0,12.0,11,,,,,,,,,,,,,,,,
2026-08-17,LED_F (2),B5,3.0,Fame,LED Plot 2,33.0,37.0,14.0,10,,,,,,,,,,,,,,,,
2026-08-17,LED_F (2),B6,3.0,Fame,LED Plot 2,31.0,32.0,12.0,12,,,,,,,,,,,,,,,,
2026-08-17,LED_F (2),B8,3.0,Fame,LED Plot 2,28.0,30.0,10.0,13,,,,,,,,,,,,,,,,
2026-08-17,LED_F (2),C4,3.0,Fame,LED Plot 2,21.0,23.0,13.0,9,,,,,,,,,,,,,,,,
2026-08-17,LED_F (2),C6,3.0,Fame,LED Plot 2,18.0,24.0,4.0,8,,,,,,,,,,,,,,,,
2026-08-17,LED_F (2),C9,3.0,Fame,LED Plot 2,17.0,23.0,14.0,9,,,,,,,,,,,,,,,,
2026-08-17,LED_GM,A2,3.0,Green Moon,LED,25.0,27.0,18.0,10,,,,,,,,,,,,,,,,
2026-08-17,LED_GM,A5,3.0,Green Moon,LED,24.0,30.0,20.0,9,,,,,,,,,,,,,,,,
2026-08-17,LED_GM,A7,3.0,Green Moon,LED,27.0,30.0,20.0,10,,,,,,,,,,,,,,,,
2026-08-17,LED_GM,B3,3.0,Green Moon,LED,18.0,19.0,12.0,7,,,,,,,,,,,,,,,,
2026-08-17,LED_GM,B5,3.0,Green Moon,LED,32.0,37.0,19.0,12,,,,,,,,,,,,,,,,
2026-08-17,LED_GM,B6,3.0,Green Moon,LED,24.0,33.0,20.0,11,,,,,,,,,,,,,,,,
2026-08-17,LED_GM,B8,3.0,Green Moon,LED,31.0,38.0,21.0,11,,,,,,,,,,,,,,,,
2026-08-17,LED_GM,C4,3.0,Green Moon,LED,30.0,36.0,20.0,12,,,,,,,,,,,,,,,,
2026-08-17,LED_GM,C6,3.0,Green Moon,LED,26.0,35.0,21.0,11,,,,,,,,,,,,,,,,
2026-08-17,LED_GM,C9,3.0,Green Moon,LED,28.0,29.0,20.0,10,,,,,,,,,,,,,,,,
2026-08-04,Control_GM,A2,1.0,Green Moon,Control,8.4,9.5,11.0,6,,,,,,,,,,,,,,,,
2026-08-04,Control_GM,A5,1.0,Green Moon,Control,9.0,11.5,10.0,8,,,,,,,,,,,,,,,,
2026-08-04,Control_GM,A7,1.0,Green Moon,Control,7.0,8.0,10.5,7,,,,,,,,,,,,,,,,
2026-08-04,Control_GM,B3,1.0,Green Moon,Control,6.5,8.0,8.5,7,,,,,,,,,,,,,,,,
2026-08-04,Control_GM,B5,1.0,Green Moon,Control,9.5,10.5,10.3,9,,,,,,,,,,,,,,,,
2026-08-04,Control_GM,B6,1.0,Green Moon,Control,7.5,8.0,8.5,8,,,,,,,,,,,,,,,,
2026-08-04,Control_GM,B8,1.0,Green Moon,Control,5.0,9.0,8.5,7,,,,,,,,,,,,,,,,
2026-08-04,Control_GM,C4,1.0,Green Moon,Control,7.0,8.0,9.0,6,,,,,,,,,,,,,,,,
2026-08-04,Control_GM,C6,1.0,Green Moon,Control,7.2,9.5,10.0,8,,,,,,,,,,,,,,,,
2026-08-04,Control_GM,C9,1.0,Green Moon,Control,7.3,10.0,10.5,7,,,,,,,,,,,,,,,,
2026-08-04,LED_GM,A2,1.0,Green Moon,LED,11.0,13.0,10.5,8,,,,,,,,,,,,,,,,
2026-08-04,LED_GM,A5,1.0,Green Moon,LED,6.0,9.5,8.0,6,,,,,,,,,,,,,,,,
2026-08-04,LED_GM,A7,1.0,Green Moon,LED,7.0,10.0,9.5,8,,,,,,,,,,,,,,,,
2026-08-04,LED_GM,B3,1.0,Green Moon,LED,5.5,6.0,4.5,6,,,,,,,,,,,,,,,,
2026-08-04,LED_GM,B5,1.0,Green Moon,LED,9.5,10.0,7.0,9,,,,,,,,,,,,,,,,
2026-08-04,LED_GM,B6,1.0,Green Moon,LED,7.5,10.5,10.0,8,,,,,,,,,,,,,,,,
2026-08-04,LED_GM,B8,1.0,Green Moon,LED,10.5,12.5,11.5,9,,,,,,,,,,,,,,,,
2026-08-04,LED_GM,C4,1.0,Green Moon,LED,10.5,12.0,12.5,12,,,,,,,,,,,,,,,,
2026-08-04,LED_GM,C6,1.0,Green Moon,LED,9.5,15.5,12.0,12,,,,,,,,,,,,,,,,
2026-08-04,LED_GM,C9,1.0,Green Moon,LED,8.5,9.0,9.5,12,,,,,,,,,,,,,,,,
2026-08-04,Control_F,A2,1.0,Fame,Control,10.1,12.0,11.0,7,,,,,,,,,,,,,,,,
2026-08-04,Control_F,A5,1.0,Fame,Control,5.5,10.4,10.5,7,,,,,,,,,,,,,,,,
2026-08-04,Control_F,A7,1.0,Fame,Control,5.5,13.5,10.0,7,,,,,,,,,,,,,,,,
2026-08-04,Control_F,B3,1.0,Fame,Control,10.5,14.0,10.0,6,,,,,,,,,,,,,,,,
2026-08-04,Control_F,B5,1.0,Fame,Control,5.0,14.5,9.5,7,,,,,,,,,,,,,,,,
2026-08-04,Control_F,B6,1.0,Fame,Control,9.5,10.5,9.7,8,,,,,,,,,,,,,,,,
2026-08-04,Control_F,B8,1.0,Fame,Control,5.5,16.0,12.0,7,,,,,,,,,,,,,,,,
2026-08-04,Control_F,C4,1.0,Fame,Control,7.5,13.4,10.0,7,,,,,,,,,,,,,,,,
2026-08-04,Control_F,C6,1.0,Fame,Control,5.0,11.0,10.0,7,,,,,,,,,,,,,,,,
2026-08-04,Control_F,C9,1.0,Fame,Control,8.0,8.5,8.5,7,,,,,,,,,,,,,,,,
2026-08-04,LED_F (1),A2,1.0,Fame,LED Plot 1,8.0,11.5,10.0,5,,,,,,,,,,,,,,,,
2026-08-04,LED_F (1),A5,1.0,Fame,LED Plot 1,11.0,12.0,11.0,7,,,,,,,,,,,,,,,,
2026-08-04,LED_F (1),A7,1.0,Fame,LED Plot 1,8.5,12.5,9.0,6,,,,,,,,,,,,,,,,
2026-08-04,LED_F (1),B3,1.0,Fame,LED Plot 1,8.0,15.5,12.0,7,,,,,,,,,,,,,,,,
2026-08-04,LED_F (1),B5,1.0,Fame,LED Plot 1,11.0,16.5,12.5,8,,,,,,,,,,,,,,,,
2026-08-04,LED_F (1),B6,1.0,Fame,LED Plot 1,6.0,14.0,10.7,7,,,,,,,,,,,,,,,,
2026-08-04,LED_F (1),B8,1.0,Fame,LED Plot 1,11.0,12.0,10.0,8,,,,,,,,,,,,,,,,
2026-08-04,LED_F (1),C4,1.0,Fame,LED Plot 1,10.2,12.0,9.6,7,,,,,,,,,,,,,,,,
2026-08-04,LED_F (1),C6,1.0,Fame,LED Plot 1,8.0,13.0,8.0,6,,,,,,,,,,,,,,,,
2026-08-04,LED_F (1),C9,1.0,Fame,LED Plot 1,10.0,13.5,11.5,7,,,,,,,,,,,,,,,,
2026-08-04,LED_F (2),A2,1.0,Fame,LED Plot 2,7.4,9.0,8.5,8,,,,,,,,,,,,,,,,
2026-08-04,LED_F (2),A5,1.0,Fame,LED Plot 2,6.0,11.5,10.0,7,,,,,,,,,,,,,,,,
2026-08-04,LED_F (2),A7,1.0,Fame,LED Plot 2,7.0,7.4,7.0,6,,,,,,,,,,,,,,,,
2026-08-04,LED_F (2),B3,1.0,Fame,LED Plot 2,9.5,11.8,11.5,7,,,,,,,,,,,,,,,,
2026-08-04,LED_F (2),B5,1.0,Fame,LED Plot 2,12.0,14.0,9.5,6,,,,,,,,,,,,,,,,
2026-08-04,LED_F (2),B6,1.0,Fame,LED Plot 2,7.0,16.5,11.0,8,,,,,,,,,,,,,,,,
2026-08-04,LED_F (2),B8,1.0,Fame,LED Plot 2,8.0,18.0,11.0,8,,,,,,,,,,,,,,,,
2026-08-04,LED_F (2),C4,1.0,Fame,LED Plot 2,4.5,8.0,7.5,4,,,,,,,,,,,,,,,,
2026-08-04,LED_F (2),C6,1.0,Fame,LED Plot 2,2.5,9.0,7.5,5,,,,,,,,,,,,,,,,
2026-08-04,LED_F (2),C9,1.0,Fame,LED Plot 2,5.0,7.0,8.0,5,,,,,,,,,,,,,,,,
