"Plot Title: 21523214."
"#","Date Time, GMT+07:00","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534670)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534671)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534672)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534673)"
76,07/10/26 04 นาฬิกา 14 นาที,318.7,266.2,246.2,221.2
77,07/10/26 04 นาฬิกา 14 นาที,308.7,256.2,236.2,213.7
78,07/10/26 04 นาฬิกา 14 นาที,298.7,458.7,456.2,206.2
79,07/10/26 04 นาฬิกา 14 นาที,288.7,471.2,448.7,196.2
80,07/10/26 04 นาฬิกา 14 นาที,273.7,441.2,433.7,183.7
81,07/10/26 04 นาฬิกา 14 นาที,261.2,428.7,421.2,173.7
82,07/10/26 04 นาฬิกา 15 นาที,246.2,436.2,396.2,166.2
83,07/10/26 04 นาฬิกา 15 นาที,233.7,408.7,403.7,156.2
84,07/10/26 04 นาฬิกา 15 นาที,221.2,393.7,378.7,146.2
85,07/10/26 04 นาฬิกา 15 นาที,208.7,383.7,373.7,136.2
86,07/10/26 04 นาฬิกา 15 นาที,193.7,391.2,371.2,126.2
87,07/10/26 04 นาฬิกา 15 นาที,181.2,381.2,338.7,118.7
88,07/10/26 04 นาฬิกา 16 นาที,168.7,351.2,348.7,108.7
89,07/10/26 04 นาฬิกา 16 นาที,158.7,361.2,323.7,106.2
90,07/10/26 04 นาฬิกา 16 นาที,151.2,351.2,328.7,103.7
91,07/10/26 04 นาฬิกา 16 นาที,143.7,333.7,333.7,98.7
92,07/10/26 04 นาฬิกา 16 นาที,138.7,341.2,326.2,96.2
93,07/10/26 04 นาฬิกา 16 นาที,136.2,346.2,308.7,96.2
94,07/10/26 04 นาฬิกา 17 นาที,131.2,346.2,306.2,93.7
95,07/10/26 04 นาฬิกา 17 นาที,131.2,328.7,308.7,93.7
96,07/10/26 04 นาฬิกา 17 นาที,133.7,346.2,323.7,96.2
97,07/10/26 04 นาฬิกา 17 นาที,136.2,328.7,308.7,98.7
98,07/10/26 04 นาฬิกา 17 นาที,136.2,343.7,318.7,98.7
99,07/10/26 04 นาฬิกา 17 นาที,136.2,346.2,326.2,101.2
100,07/10/26 04 นาฬิกา 18 นาที,138.7,346.2,311.2,101.2
101,07/10/26 04 นาฬิกา 18 นาที,141.2,343.7,331.2,101.2
102,07/10/26 04 นาฬิกา 18 นาที,141.2,341.2,313.7,98.7
103,07/10/26 04 นาฬิกา 18 นาที,141.2,348.7,311.2,101.2
104,07/10/26 04 นาฬิกา 18 นาที,141.2,356.2,326.2,98.7
105,07/10/26 04 นาฬิกา 18 นาที,146.2,356.2,336.2,106.2
106,07/10/26 04 นาฬิกา 19 นาที,146.2,351.2,321.2,106.2
107,07/10/26 04 นาฬิกา 19 นาที,151.2,353.7,336.2,103.7
108,07/10/26 04 นาฬิกา 19 นาที,151.2,353.7,318.7,111.2
109,07/10/26 04 นาฬิกา 19 นาที,156.2,356.2,341.2,113.7
110,07/10/26 04 นาฬิกา 19 นาที,156.2,363.7,328.7,116.2
111,07/10/26 04 นาฬิกา 19 นาที,158.7,363.7,338.7,113.7
112,07/10/26 04 นาฬิกา 20 นาที,158.7,358.7,338.7,108.7
113,07/10/26 04 นาฬิกา 20 นาที,156.2,343.7,338.7,108.7
114,07/10/26 04 นาฬิกา 20 นาที,156.2,351.2,328.7,106.2
115,07/10/26 04 นาฬิกา 20 นาที,148.7,353.7,318.7,98.7
116,07/10/26 04 นาฬิกา 20 นาที,143.7,341.2,316.2,96.2
117,07/10/26 04 นาฬิกา 20 นาที,138.7,348.7,313.7,96.2
118,07/10/26 04 นาฬิกา 21 นาที,136.2,336.2,311.2,91.2
119,07/10/26 04 นาฬิกา 21 นาที,136.2,348.7,318.7,86.2
120,07/10/26 04 นาฬิกา 21 นาที,138.7,351.2,311.2,98.7
121,07/10/26 04 นาฬิกา 21 นาที,141.2,348.7,313.7,103.7
122,07/10/26 04 นาฬิกา 21 นาที,146.2,356.2,313.7,106.2
123,07/10/26 04 นาฬิกา 21 นาที,148.7,361.2,326.2,108.7
124,07/10/26 04 นาฬิกา 22 นาที,148.7,356.2,328.7,111.2
125,07/10/26 04 นาฬิกา 22 นาที,158.7,361.2,343.7,111.2
126,07/10/26 04 นาฬิกา 22 นาที,-888.9,371.2,341.2,116.2
127,07/10/26 04 นาฬิกา 22 นาที,166.2,363.7,348.7,118.7
128,07/10/26 04 นาฬิกา 22 นาที,171.2,378.7,348.7,126.2
129,07/10/26 04 นาฬิกา 22 นาที,173.7,383.7,341.2,126.2
130,07/10/26 04 นาฬิกา 23 นาที,176.2,376.2,348.7,131.2
131,07/10/26 04 นาฬิกา 23 นาที,178.7,371.2,343.7,131.2
132,07/10/26 04 นาฬิกา 23 นาที,176.2,378.7,341.2,126.2
133,07/10/26 04 นาฬิกา 23 นาที,176.2,373.7,353.7,123.7
134,07/10/26 04 นาฬิกา 23 นาที,171.2,368.7,358.7,118.7
135,07/10/26 04 นาฬิกา 23 นาที,168.7,383.7,341.2,118.7
136,07/10/26 04 นาฬิกา 24 นาที,168.7,378.7,341.2,121.2
137,07/10/26 04 นาฬิกา 24 นาที,171.2,386.2,343.7,126.2
138,07/10/26 04 นาฬิกา 24 นาที,176.2,391.2,351.2,136.2
139,07/10/26 04 นาฬิกา 24 นาที,188.7,396.2,366.2,146.2
140,07/10/26 04 นาฬิกา 24 นาที,203.7,416.2,386.2,158.7
141,07/10/26 04 นาฬิกา 24 นาที,211.2,421.2,386.2,166.2
142,07/10/26 04 นาฬิกา 25 นาที,218.7,421.2,381.2,171.2
143,07/10/26 04 นาฬิกา 25 นาที,223.7,436.2,393.7,173.7
144,07/10/26 04 นาฬิกา 25 นาที,226.2,433.7,401.2,173.7
145,07/10/26 04 นาฬิกา 25 นาที,231.2,443.7,393.7,178.7
146,07/10/26 04 นาฬิกา 25 นาที,231.2,438.7,396.2,178.7
147,07/10/26 04 นาฬิกา 25 นาที,233.7,436.2,411.2,178.7
148,07/10/26 04 นาฬิกา 26 นาที,236.2,431.2,406.2,176.2
149,07/10/26 04 นาฬิกา 26 นาที,236.2,438.7,396.2,181.2
150,07/10/26 04 นาฬิกา 26 นาที,231.2,426.2,403.7,171.2
151,07/10/26 04 นาฬิกา 26 นาที,226.2,426.2,386.2,166.2
152,07/10/26 04 นาฬิกา 26 นาที,221.2,418.7,388.7,161.2
153,07/10/26 04 นาฬิกา 26 นาที,213.7,413.7,378.7,156.2
154,07/10/26 04 นาฬิกา 27 นาที,206.2,413.7,386.2,148.7
155,07/10/26 04 นาฬิกา 27 นาที,198.7,406.2,383.7,146.2
156,07/10/26 04 นาฬิกา 27 นาที,193.7,398.7,371.2,141.2
157,07/10/26 04 นาฬิกา 27 นาที,188.7,398.7,356.2,138.7
158,07/10/26 04 นาฬิกา 27 นาที,188.7,406.2,366.2,141.2
159,07/10/26 04 นาฬิกา 27 นาที,196.2,396.2,376.2,143.7
160,07/10/26 04 นาฬิกา 28 นาที,206.2,408.7,373.7,158.7
161,07/10/26 04 นาฬิกา 28 นาที,218.7,428.7,398.7,168.7
162,07/10/26 04 นาฬิกา 28 นาที,231.2,451.2,401.2,183.7
163,07/10/26 04 นาฬิกา 28 นาที,246.2,466.2,418.7,196.2
164,07/10/26 04 นาฬิกา 28 นาที,261.2,473.7,428.7,211.2
165,07/10/26 04 นาฬิกา 28 นาที,278.7,491.2,443.7,226.2
166,07/10/26 04 นาฬิกา 29 นาที,293.7,508.7,461.2,238.7
167,07/10/26 04 นาฬิกา 29 นาที,318.7,521.2,471.2,248.7
168,07/10/26 04 นาฬิกา 29 นาที,338.7,528.7,476.2,256.2
169,07/10/26 04 นาฬิกา 29 นาที,356.2,313.7,278.7,263.7
170,07/10/26 04 นาฬิกา 29 นาที,366.2,318.7,286.2,266.2
171,07/10/26 04 นาฬิกา 29 นาที,383.7,323.7,291.2,276.2
172,07/10/26 04 นาฬิกา 30 นาที,383.7,323.7,291.2,271.2
173,07/10/26 04 นาฬิกา 30 นาที,351.2,321.2,291.2,268.7
174,07/10/26 04 นาฬิกา 30 นาที,361.2,318.7,291.2,266.2
175,07/10/26 04 นาฬิกา 30 นาที,368.7,316.2,286.2,261.2
176,07/10/26 04 นาฬิกา 30 นาที,348.7,308.7,283.7,253.7
177,07/10/26 04 นาฬิกา 30 นาที,331.2,303.7,273.7,248.7
178,07/10/26 04 นาฬิกา 31 นาที,321.2,526.2,483.7,248.7
179,07/10/26 04 นาฬิกา 31 นาที,318.7,296.2,268.7,253.7
180,07/10/26 04 นาฬิกา 31 นาที,321.2,298.7,271.2,253.7
181,07/10/26 04 นาฬิกา 31 นาที,323.7,296.2,268.7,253.7
182,07/10/26 04 นาฬิกา 31 นาที,321.2,293.7,266.2,248.7
183,07/10/26 04 นาฬิกา 31 นาที,318.7,286.2,263.7,243.7
184,07/10/26 04 นาฬิกา 32 นาที,311.2,281.2,253.7,236.2
185,07/10/26 04 นาฬิกา 32 นาที,303.7,271.2,248.7,228.7
186,07/10/26 04 นาฬิกา 32 นาที,293.7,481.2,456.2,213.7
187,07/10/26 04 นาฬิกา 32 นาที,283.7,478.7,431.2,206.2
188,07/10/26 04 นาฬิกา 32 นาที,271.2,466.2,431.2,198.7
189,07/10/26 04 นาฬิกา 32 นาที,261.2,456.2,418.7,188.7
190,07/10/26 04 นาฬิกา 33 นาที,251.2,448.7,423.7,181.2
191,07/10/26 04 นาฬิกา 33 นาที,246.2,441.2,416.2,178.7
192,07/10/26 04 นาฬิกา 33 นาที,241.2,441.2,403.7,178.7
193,07/10/26 04 นาฬิกา 33 นาที,233.7,423.7,401.2,176.2
194,07/10/26 04 นาฬิกา 33 นาที,231.2,413.7,396.2,168.7
195,07/10/26 04 นาฬิกา 33 นาที,223.7,423.7,396.2,158.7
196,07/10/26 04 นาฬิกา 34 นาที,216.2,403.7,391.2,153.7
197,07/10/26 04 นาฬิกา 34 นาที,211.2,416.2,388.7,153.7
198,07/10/26 04 นาฬิกา 34 นาที,203.7,401.2,376.2,151.2
199,07/10/26 04 นาฬิกา 34 นาที,201.2,403.7,371.2,156.2
200,07/10/26 04 นาฬิกา 34 นาที,203.7,421.2,386.2,161.2
201,07/10/26 04 นาฬิกา 34 นาที,211.2,423.7,393.7,168.7
202,07/10/26 04 นาฬิกา 35 นาที,218.7,426.2,406.2,176.2
203,07/10/26 04 นาฬิกา 35 นาที,226.2,448.7,396.2,186.2
204,07/10/26 04 นาฬิกา 35 นาที,241.2,453.7,416.2,191.2
205,07/10/26 04 นาฬิกา 35 นาที,241.2,443.7,418.7,186.2
206,07/10/26 04 นาฬิกา 35 นาที,246.2,451.2,428.7,196.2
207,07/10/26 04 นาฬิกา 35 นาที,251.2,473.7,433.7,203.7
208,07/10/26 04 นาฬิกา 36 นาที,261.2,476.2,431.2,216.2
209,07/10/26 04 นาฬิกา 36 นาที,276.2,493.7,441.2,226.2
210,07/10/26 04 นาฬิกา 36 นาที,288.7,506.2,446.2,233.7
211,07/10/26 04 นาฬิกา 36 นาที,303.7,508.7,463.7,243.7
212,07/10/26 04 นาฬิกา 36 นาที,313.7,506.2,481.2,248.7
213,07/10/26 04 นาฬิกา 36 นาที,316.2,521.2,471.2,251.2
214,07/10/26 04 นาฬิกา 37 นาที,318.7,293.7,268.7,251.2
215,07/10/26 04 นาฬิกา 37 นาที,316.2,293.7,266.2,248.7
216,07/10/26 04 นาฬิกา 37 นาที,313.7,293.7,266.2,248.7
217,07/10/26 04 นาฬิกา 37 นาที,308.7,291.2,263.7,246.2
218,07/10/26 04 นาฬิกา 37 นาที,306.2,286.2,256.2,243.7
219,07/10/26 04 นาฬิกา 37 นาที,298.7,276.2,248.7,233.7
220,07/10/26 04 นาฬิกา 38 นาที,288.7,266.2,241.2,226.2
221,07/10/26 04 นาฬิกา 38 นาที,281.2,481.2,453.7,223.7
222,07/10/26 04 นาฬิกา 38 นาที,278.7,478.7,448.7,223.7
223,07/10/26 04 นาฬิกา 38 นาที,281.2,488.7,456.2,228.7
224,07/10/26 04 นาฬิกา 38 นาที,291.2,496.2,436.2,238.7
225,07/10/26 04 นาฬิกา 38 นาที,303.7,491.2,446.2,243.7
226,07/10/26 04 นาฬิกา 39 นาที,303.7,496.2,458.7,241.2
227,07/10/26 04 นาฬิกา 39 นาที,303.7,483.7,441.2,236.2
228,07/10/26 04 นาฬิกา 39 นาที,303.7,493.7,453.7,233.7
229,07/10/26 04 นาฬิกา 39 นาที,303.7,496.2,461.2,231.2
230,07/10/26 04 นาฬิกา 39 นาที,306.2,481.2,448.7,226.2
231,07/10/26 04 นาฬิกา 39 นาที,303.7,491.2,461.2,226.2
232,07/10/26 04 นาฬิกา 40 นาที,301.2,483.7,453.7,221.2
233,07/10/26 04 นาฬิกา 40 นาที,301.2,468.7,453.7,223.7
234,07/10/26 04 นาฬิกา 40 นาที,301.2,463.7,448.7,221.2
235,07/10/26 04 นาฬิกา 40 นาที,298.7,466.2,431.2,216.2
236,07/10/26 04 นาฬิกา 40 นาที,293.7,473.7,428.7,213.7
237,07/10/26 04 นาฬิกา 40 นาที,291.2,471.2,431.2,211.2
238,07/10/26 04 นาฬิกา 41 นาที,296.2,483.7,433.7,216.2
239,07/10/26 04 นาฬิกา 41 นาที,301.2,481.2,436.2,221.2
240,07/10/26 04 นาฬิกา 41 นาที,316.2,491.2,443.7,236.2
241,07/10/26 04 นาฬิกา 41 นาที,331.2,496.2,456.2,251.2
242,07/10/26 04 นาฬิกา 41 นาที,348.7,291.2,261.2,261.2
243,07/10/26 04 นาฬิกา 41 นาที,363.7,296.2,266.2,263.7
244,07/10/26 04 นาฬิกา 42 นาที,398.7,298.7,273.7,268.7
245,07/10/26 04 นาฬิกา 42 นาที,408.7,301.2,273.7,263.7
246,07/10/26 04 นาฬิกา 42 นาที,413.7,303.7,276.2,263.7
247,07/10/26 04 นาฬิกา 42 นาที,426.2,303.7,278.7,261.2
248,07/10/26 04 นาฬิกา 42 นาที,418.7,298.7,273.7,253.7
249,07/10/26 04 นาฬิกา 42 นาที,-888.9,298.7,276.2,241.2
250,07/10/26 04 นาฬิกา 43 นาที,-888.9,288.7,266.2,236.2
251,07/10/26 04 นาฬิกา 43 นาที,-888.9,286.2,261.2,233.7
252,07/10/26 04 นาฬิกา 43 นาที,-888.9,283.7,258.7,228.7
253,07/10/26 04 นาฬิกา 43 นาที,-888.9,286.2,258.7,231.2
254,07/10/26 04 นาฬิกา 43 นาที,-888.9,296.2,266.2,246.2
255,07/10/26 04 นาฬิกา 43 นาที,-888.9,536.2,508.7,263.7
256,07/10/26 04 นาฬิกา 44 นาที,-888.9,316.2,286.2,276.2
257,07/10/26 04 นาฬิกา 44 นาที,-888.9,328.7,296.2,293.7
