"Plot Title: 21523214."
"#","Date Time, GMT+07:00","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534670)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534671)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534672)","PAR, µmol/m²/s (LGR S/N: 21523214, SEN S/N: 21534673)"
15154,07/12/26 10 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
15155,07/12/26 10 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
15156,07/12/26 10 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
15157,07/12/26 10 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
15158,07/12/26 10 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
15159,07/12/26 10 นาฬิกา 7 นาที,-888.9,-888.9,-888.9,-888.9
15160,07/12/26 10 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
15161,07/12/26 10 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
15162,07/12/26 10 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
15163,07/12/26 10 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
15164,07/12/26 10 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
15165,07/12/26 10 นาฬิกา 8 นาที,-888.9,-888.9,-888.9,-888.9
15166,07/12/26 10 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
15167,07/12/26 10 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
15168,07/12/26 10 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
15169,07/12/26 10 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
15170,07/12/26 10 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
15171,07/12/26 10 นาฬิกา 9 นาที,-888.9,-888.9,-888.9,-888.9
15172,07/12/26 10 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
15173,07/12/26 10 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
15174,07/12/26 10 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
15175,07/12/26 10 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
15176,07/12/26 10 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
15177,07/12/26 10 นาฬิกา 10 นาที,-888.9,-888.9,-888.9,-888.9
15178,07/12/26 10 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
15179,07/12/26 10 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
15180,07/12/26 10 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
15181,07/12/26 10 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
15182,07/12/26 10 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
15183,07/12/26 10 นาฬิกา 11 นาที,-888.9,-888.9,-888.9,-888.9
15184,07/12/26 10 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
15185,07/12/26 10 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
15186,07/12/26 10 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
15187,07/12/26 10 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
15188,07/12/26 10 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
15189,07/12/26 10 นาฬิกา 12 นาที,-888.9,-888.9,-888.9,-888.9
15190,07/12/26 10 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
15191,07/12/26 10 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
15192,07/12/26 10 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
15193,07/12/26 10 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
15194,07/12/26 10 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
15195,07/12/26 10 นาฬิกา 13 นาที,-888.9,-888.9,-888.9,-888.9
15196,07/12/26 10 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
15197,07/12/26 10 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
15198,07/12/26 10 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
15199,07/12/26 10 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
15200,07/12/26 10 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
15201,07/12/26 10 นาฬิกา 14 นาที,-888.9,-888.9,-888.9,-888.9
15202,07/12/26 10 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
15203,07/12/26 10 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
15204,07/12/26 10 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
15205,07/12/26 10 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
15206,07/12/26 10 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
15207,07/12/26 10 นาฬิกา 15 นาที,-888.9,-888.9,-888.9,-888.9
15208,07/12/26 10 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
15209,07/12/26 10 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
15210,07/12/26 10 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
15211,07/12/26 10 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
15212,07/12/26 10 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
15213,07/12/26 10 นาฬิกา 16 นาที,-888.9,-888.9,-888.9,-888.9
15214,07/12/26 10 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
15215,07/12/26 10 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
15216,07/12/26 10 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
15217,07/12/26 10 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
15218,07/12/26 10 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
15219,07/12/26 10 นาฬิกา 17 นาที,-888.9,-888.9,-888.9,-888.9
15220,07/12/26 10 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
15221,07/12/26 10 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
15222,07/12/26 10 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
15223,07/12/26 10 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
15224,07/12/26 10 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
15225,07/12/26 10 นาฬิกา 18 นาที,-888.9,-888.9,-888.9,-888.9
15226,07/12/26 10 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
15227,07/12/26 10 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
15228,07/12/26 10 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
15229,07/12/26 10 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
15230,07/12/26 10 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
15231,07/12/26 10 นาฬิกา 19 นาที,-888.9,-888.9,-888.9,-888.9
15232,07/12/26 10 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
15233,07/12/26 10 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
15234,07/12/26 10 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
15235,07/12/26 10 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
15236,07/12/26 10 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
15237,07/12/26 10 นาฬิกา 20 นาที,-888.9,-888.9,-888.9,-888.9
15238,07/12/26 10 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
15239,07/12/26 10 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
15240,07/12/26 10 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
15241,07/12/26 10 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
15242,07/12/26 10 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
15243,07/12/26 10 นาฬิกา 21 นาที,-888.9,-888.9,-888.9,-888.9
15244,07/12/26 10 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
15245,07/12/26 10 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
15246,07/12/26 10 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
15247,07/12/26 10 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
15248,07/12/26 10 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
15249,07/12/26 10 นาฬิกา 22 นาที,-888.9,-888.9,-888.9,-888.9
15250,07/12/26 10 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
15251,07/12/26 10 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
15252,07/12/26 10 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
15253,07/12/26 10 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
15254,07/12/26 10 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
15255,07/12/26 10 นาฬิกา 23 นาที,-888.9,-888.9,-888.9,-888.9
15256,07/12/26 10 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
15257,07/12/26 10 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
15258,07/12/26 10 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
15259,07/12/26 10 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
15260,07/12/26 10 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
15261,07/12/26 10 นาฬิกา 24 นาที,-888.9,-888.9,-888.9,-888.9
15262,07/12/26 10 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
15263,07/12/26 10 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
15264,07/12/26 10 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
15265,07/12/26 10 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
15266,07/12/26 10 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
15267,07/12/26 10 นาฬิกา 25 นาที,-888.9,-888.9,-888.9,-888.9
15268,07/12/26 10 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
15269,07/12/26 10 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
15270,07/12/26 10 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
15271,07/12/26 10 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
15272,07/12/26 10 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
15273,07/12/26 10 นาฬิกา 26 นาที,-888.9,-888.9,-888.9,-888.9
15274,07/12/26 10 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
15275,07/12/26 10 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
15276,07/12/26 10 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
15277,07/12/26 10 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
15278,07/12/26 10 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
15279,07/12/26 10 นาฬิกา 27 นาที,-888.9,-888.9,-888.9,-888.9
15280,07/12/26 10 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
15281,07/12/26 10 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
15282,07/12/26 10 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
15283,07/12/26 10 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
15284,07/12/26 10 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
15285,07/12/26 10 นาฬิกา 28 นาที,-888.9,-888.9,-888.9,-888.9
15286,07/12/26 10 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
15287,07/12/26 10 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
15288,07/12/26 10 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
15289,07/12/26 10 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
15290,07/12/26 10 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
15291,07/12/26 10 นาฬิกา 29 นาที,-888.9,-888.9,-888.9,-888.9
15292,07/12/26 10 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
15293,07/12/26 10 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
15294,07/12/26 10 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
15295,07/12/26 10 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
15296,07/12/26 10 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
15297,07/12/26 10 นาฬิกา 30 นาที,-888.9,-888.9,-888.9,-888.9
15298,07/12/26 10 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
15299,07/12/26 10 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
15300,07/12/26 10 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
15301,07/12/26 10 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
15302,07/12/26 10 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
15303,07/12/26 10 นาฬิกา 31 นาที,-888.9,-888.9,-888.9,-888.9
15304,07/12/26 10 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
15305,07/12/26 10 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
15306,07/12/26 10 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
15307,07/12/26 10 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
15308,07/12/26 10 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
15309,07/12/26 10 นาฬิกา 32 นาที,-888.9,-888.9,-888.9,-888.9
15310,07/12/26 10 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
15311,07/12/26 10 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
15312,07/12/26 10 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
15313,07/12/26 10 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
15314,07/12/26 10 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
15315,07/12/26 10 นาฬิกา 33 นาที,-888.9,-888.9,-888.9,-888.9
15316,07/12/26 10 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
15317,07/12/26 10 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
15318,07/12/26 10 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
15319,07/12/26 10 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
15320,07/12/26 10 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
15321,07/12/26 10 นาฬิกา 34 นาที,-888.9,-888.9,-888.9,-888.9
15322,07/12/26 10 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
15323,07/12/26 10 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
15324,07/12/26 10 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
15325,07/12/26 10 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
15326,07/12/26 10 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
15327,07/12/26 10 นาฬิกา 35 นาที,-888.9,-888.9,-888.9,-888.9
15328,07/12/26 10 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
15329,07/12/26 10 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
15330,07/12/26 10 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
15331,07/12/26 10 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
15332,07/12/26 10 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
15333,07/12/26 10 นาฬิกา 36 นาที,-888.9,-888.9,-888.9,-888.9
15334,07/12/26 10 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
15335,07/12/26 10 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
15336,07/12/26 10 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
15337,07/12/26 10 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
15338,07/12/26 10 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
15339,07/12/26 10 นาฬิกา 37 นาที,-888.9,-888.9,-888.9,-888.9
15340,07/12/26 10 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
15341,07/12/26 10 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
15342,07/12/26 10 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
15343,07/12/26 10 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
15344,07/12/26 10 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
15345,07/12/26 10 นาฬิกา 38 นาที,-888.9,-888.9,-888.9,-888.9
15346,07/12/26 10 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
15347,07/12/26 10 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
15348,07/12/26 10 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
15349,07/12/26 10 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
15350,07/12/26 10 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
15351,07/12/26 10 นาฬิกา 39 นาที,-888.9,-888.9,-888.9,-888.9
15352,07/12/26 10 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
15353,07/12/26 10 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
15354,07/12/26 10 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
15355,07/12/26 10 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
15356,07/12/26 10 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
15357,07/12/26 10 นาฬิกา 40 นาที,-888.9,-888.9,-888.9,-888.9
15358,07/12/26 10 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
15359,07/12/26 10 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
15360,07/12/26 10 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
15361,07/12/26 10 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
15362,07/12/26 10 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
15363,07/12/26 10 นาฬิกา 41 นาที,-888.9,-888.9,-888.9,-888.9
15364,07/12/26 10 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
15365,07/12/26 10 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
15366,07/12/26 10 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
15367,07/12/26 10 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
15368,07/12/26 10 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
15369,07/12/26 10 นาฬิกา 42 นาที,-888.9,-888.9,-888.9,-888.9
15370,07/12/26 10 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
15371,07/12/26 10 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
15372,07/12/26 10 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
15373,07/12/26 10 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
15374,07/12/26 10 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
15375,07/12/26 10 นาฬิกา 43 นาที,-888.9,-888.9,-888.9,-888.9
15376,07/12/26 10 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
15377,07/12/26 10 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
15378,07/12/26 10 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
15379,07/12/26 10 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
15380,07/12/26 10 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
15381,07/12/26 10 นาฬิกา 44 นาที,-888.9,-888.9,-888.9,-888.9
15382,07/12/26 10 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
15383,07/12/26 10 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
15384,07/12/26 10 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
15385,07/12/26 10 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
15386,07/12/26 10 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
15387,07/12/26 10 นาฬิกา 45 นาที,-888.9,-888.9,-888.9,-888.9
15388,07/12/26 10 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
15389,07/12/26 10 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
15390,07/12/26 10 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
15391,07/12/26 10 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
15392,07/12/26 10 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
15393,07/12/26 10 นาฬิกา 46 นาที,-888.9,-888.9,-888.9,-888.9
15394,07/12/26 10 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
15395,07/12/26 10 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
15396,07/12/26 10 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
15397,07/12/26 10 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
15398,07/12/26 10 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
15399,07/12/26 10 นาฬิกา 47 นาที,-888.9,-888.9,-888.9,-888.9
15400,07/12/26 10 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
15401,07/12/26 10 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
15402,07/12/26 10 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
15403,07/12/26 10 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
15404,07/12/26 10 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
15405,07/12/26 10 นาฬิกา 48 นาที,-888.9,-888.9,-888.9,-888.9
15406,07/12/26 10 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
15407,07/12/26 10 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
15408,07/12/26 10 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
15409,07/12/26 10 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
15410,07/12/26 10 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
15411,07/12/26 10 นาฬิกา 49 นาที,-888.9,-888.9,-888.9,-888.9
15412,07/12/26 10 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
15413,07/12/26 10 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
15414,07/12/26 10 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
15415,07/12/26 10 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
15416,07/12/26 10 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
15417,07/12/26 10 นาฬิกา 50 นาที,-888.9,-888.9,-888.9,-888.9
15418,07/12/26 10 นาฬิกา 51 นาที,-888.9,-888.9,-888.9,-888.9
15419,07/12/26 10 นาฬิกา 51 นาที,-888.9,-888.9,-888.9,-888.9
15420,07/12/26 10 นาฬิกา 51 นาที,-888.9,-888.9,-888.9,-888.9
15421,07/12/26 10 นาฬิกา 51 นาที,-888.9,-888.9,-888.9,-888.9
15422,07/12/26 10 นาฬิกา 51 นาที,-888.9,-888.9,-888.9,-888.9
15423,07/12/26 10 นาฬิกา 51 นาที,-888.9,-888.9,-888.9,-888.9
15424,07/12/26 10 นาฬิกา 52 นาที,-888.9,-888.9,-888.9,-888.9
15425,07/12/26 10 นาฬิกา 52 นาที,-888.9,-888.9,-888.9,-888.9
15426,07/12/26 10 นาฬิกา 52 นาที,-888.9,-888.9,-888.9,-888.9
15427,07/12/26 10 นาฬิกา 52 นาที,-888.9,-888.9,-888.9,-888.9
15428,07/12/26 10 นาฬิกา 52 นาที,-888.9,-888.9,-888.9,-888.9
15429,07/12/26 10 นาฬิกา 52 นาที,-888.9,-888.9,-888.9,-888.9
15430,07/12/26 10 นาฬิกา 53 นาที,-888.9,-888.9,-888.9,-888.9
15431,07/12/26 10 นาฬิกา 53 นาที,-888.9,-888.9,-888.9,-888.9
15432,07/12/26 10 นาฬิกา 53 นาที,-888.9,-888.9,-888.9,-888.9
15433,07/12/26 10 นาฬิกา 53 นาที,-888.9,-888.9,-888.9,-888.9
15434,07/12/26 10 นาฬิกา 53 นาที,-888.9,-888.9,-888.9,-888.9
15435,07/12/26 10 นาฬิกา 53 นาที,-888.9,-888.9,-888.9,-888.9
15436,07/12/26 10 นาฬิกา 54 นาที,-888.9,-888.9,-888.9,-888.9
15437,07/12/26 10 นาฬิกา 54 นาที,-888.9,-888.9,-888.9,-888.9
15438,07/12/26 10 นาฬิกา 54 นาที,-888.9,-888.9,-888.9,-888.9
15439,07/12/26 10 นาฬิกา 54 นาที,-888.9,-888.9,-888.9,-888.9
15440,07/12/26 10 นาฬิกา 54 นาที,-888.9,-888.9,-888.9,-888.9
15441,07/12/26 10 นาฬิกา 54 นาที,-888.9,-888.9,-888.9,-888.9
15442,07/12/26 10 นาฬิกา 55 นาที,-888.9,-888.9,-888.9,-888.9
15443,07/12/26 10 นาฬิกา 55 นาที,-888.9,-888.9,-888.9,-888.9
15444,07/12/26 10 นาฬิกา 55 นาที,-888.9,-888.9,-888.9,-888.9
15445,07/12/26 10 นาฬิกา 55 นาที,-888.9,-888.9,-888.9,-888.9
15446,07/12/26 10 นาฬิกา 55 นาที,-888.9,-888.9,-888.9,-888.9
15447,07/12/26 10 นาฬิกา 55 นาที,-888.9,-888.9,-888.9,-888.9
15448,07/12/26 10 นาฬิกา 56 นาที,-888.9,-888.9,-888.9,-888.9
15449,07/12/26 10 นาฬิกา 56 นาที,-888.9,-888.9,-888.9,-888.9
15450,07/12/26 10 นาฬิกา 56 นาที,-888.9,-888.9,-888.9,-888.9
15451,07/12/26 10 นาฬิกา 56 นาที,-888.9,-888.9,-888.9,-888.9
15452,07/12/26 10 นาฬิกา 56 นาที,-888.9,-888.9,-888.9,-888.9
15453,07/12/26 10 นาฬิกา 56 นาที,-888.9,-888.9,-888.9,-888.9
15454,07/12/26 10 นาฬิกา 57 นาที,-888.9,-888.9,-888.9,-888.9
15455,07/12/26 10 นาฬิกา 57 นาที,-888.9,-888.9,-888.9,-888.9
15456,07/12/26 10 นาฬิกา 57 นาที,-888.9,-888.9,-888.9,-888.9
15457,07/12/26 10 นาฬิกา 57 นาที,-888.9,-888.9,-888.9,-888.9
15458,07/12/26 10 นาฬิกา 57 นาที,-888.9,-888.9,-888.9,-888.9
15459,07/12/26 10 นาฬิกา 57 นาที,-888.9,-888.9,-888.9,-888.9
15460,07/12/26 10 นาฬิกา 58 นาที,-888.9,-888.9,-888.9,-888.9
